District,Year_Ahead,Steps_Ahead,ARIMA_Forecast,CI_Lower,CI_Upper
Ariyalur,2026,1,4.7147,2.1114,7.3179
Ariyalur,2027,2,4.7103,1.9872,7.4333
Ariyalur,2028,3,4.7103,1.8687,7.5519
Ariyalur,2029,4,4.7103,1.7549,7.6657
Ariyalur,2030,5,4.7103,1.6453,7.7753
Chengalpattu,2026,1,3.7826,2.0605,5.5047
Chengalpattu,2027,2,3.7919,1.7395,5.8443
Chengalpattu,2028,3,3.7931,1.4925,6.0936
Chengalpattu,2029,4,3.7932,1.2729,6.3135
Chengalpattu,2030,5,3.7932,1.0713,6.5151
Chennai,2026,1,2.934,2.445,3.423
Chennai,2027,2,3.0619,2.0024,4.1214
Chennai,2028,3,3.1176,1.5641,4.6711
Chennai,2029,4,3.1419,1.1656,5.1181
Chennai,2030,5,3.1524,0.8093,5.4955
Coimbatore,2026,1,11.3092,7.2676,15.3507
Coimbatore,2027,2,11.4395,6.2298,16.6492
Coimbatore,2028,3,11.54,5.6738,17.4062
Coimbatore,2029,4,11.6174,5.3414,17.8934
Coimbatore,2030,5,11.677,5.1311,18.223
Cuddalore,2026,1,4.9906,2.9485,7.0327
Cuddalore,2027,2,4.9933,2.0365,7.9501
Cuddalore,2028,3,4.9934,1.3407,8.6462
Cuddalore,2029,4,4.9934,0.7574,9.2295
Cuddalore,2030,5,4.9934,0.2452,9.7416
Dharmapuri,2026,1,6.6747,2.1339,11.2155
Dharmapuri,2027,2,6.683,-0.256,13.622
Dharmapuri,2028,3,6.6826,-1.9978,15.3631
Dharmapuri,2029,4,6.6827,-3.4448,16.8101
Dharmapuri,2030,5,6.6827,-4.7094,18.0747
Dindigul,2026,1,6.8239,3.2301,10.4177
Dindigul,2027,2,6.7671,0.006,13.5282
Dindigul,2028,3,6.7868,-1.6151,15.1887
Dindigul,2029,4,6.78,-3.1243,16.6842
Dindigul,2030,5,6.7823,-4.3833,17.9479
Erode,2026,1,7.5496,3.8929,11.2063
Erode,2027,2,7.7702,3.2704,12.2699
Erode,2028,3,7.9177,3.0267,12.8086
Erode,2029,4,8.0163,2.9207,13.1119
Erode,2030,5,8.0823,2.8721,13.2926
Kallakurichi,2026,1,6.2705,2.8416,9.6995
Kallakurichi,2027,2,5.616,1.0473,10.1846
Kallakurichi,2028,3,6.2106,0.5207,11.9005
Kallakurichi,2029,4,5.6704,-0.7869,12.1277
Kallakurichi,2030,5,6.1612,-1.1182,13.4406
Kanchipuram,2026,1,3.2386,0.5657,5.9115
Kanchipuram,2027,2,3.5245,0.23,6.819
Kanchipuram,2028,3,3.2619,-0.9423,7.4662
Kanchipuram,2029,4,3.5031,-1.1449,8.1511
Kanchipuram,2030,5,3.2817,-2.0249,8.5882
Kanniyakumari,2026,1,5.7795,2.6323,8.9267
Kanniyakumari,2027,2,5.806,2.6451,8.9668
Kanniyakumari,2028,3,5.8073,2.6459,8.9687
Kanniyakumari,2029,4,5.8073,2.6459,8.9688
Kanniyakumari,2030,5,5.8073,2.6459,8.9688
Karur,2026,1,4.7854,1.7697,7.801
Karur,2027,2,4.837,1.2805,8.3934
Karur,2028,3,4.85,0.9497,8.7502
Karur,2029,4,4.8532,0.6637,9.0427
Karur,2030,5,4.854,0.4001,9.308
Krishnagiri,2026,1,5.9896,2.3556,9.6237
Krishnagiri,2027,2,6.3918,1.8932,10.8904
Krishnagiri,2028,3,6.6661,1.7556,11.5766
Krishnagiri,2029,4,6.8532,1.7219,11.9844
Krishnagiri,2030,5,6.9808,1.7231,12.2384
Madurai,2026,1,4.4537,1.6398,7.2677
Madurai,2027,2,4.504,-0.2048,9.2129
Madurai,2028,3,4.4778,-1.2571,10.2126
Madurai,2029,4,4.4915,-2.2457,11.2287
Madurai,2030,5,4.4843,-3.0616,12.0303
Mayiladuthurai,2026,1,3.0392,2.0376,4.0409
Mayiladuthurai,2027,2,3.2204,2.0396,4.4012
Mayiladuthurai,2028,3,3.1113,1.6551,4.5674
Mayiladuthurai,2029,4,3.177,1.5546,4.7994
Mayiladuthurai,2030,5,3.1374,1.3295,4.9453
Nagapattinam,2026,1,3.03,1.7135,4.3465
Nagapattinam,2027,2,3.2115,1.7588,4.6641
Nagapattinam,2028,3,3.2863,1.8003,4.7723
Nagapattinam,2029,4,3.3172,1.8209,4.8135
Nagapattinam,2030,5,3.3299,1.8299,4.8299
Namakkal,2026,1,8.0523,3.8234,12.2813
Namakkal,2027,2,8.5369,3.0338,14.04
Namakkal,2028,3,8.9204,2.6754,15.1654
Namakkal,2029,4,9.2239,2.5001,15.9476
Namakkal,2030,5,9.464,2.4147,16.5133
Perambalur,2026,1,7.9755,2.0358,13.9151
Perambalur,2027,2,8.3944,2.2816,14.5072
Perambalur,2028,3,8.474,2.3424,14.6056
Perambalur,2029,4,8.4891,2.3545,14.6238
Perambalur,2030,5,8.492,2.3568,14.6273
Pudukkottai,2026,1,6.269,3.904,8.634
Pudukkottai,2027,2,6.94,3.692,10.1879
Pudukkottai,2028,3,6.269,2.2512,10.2868
Pudukkottai,2029,4,6.9399,2.3467,11.5332
Pudukkottai,2030,5,6.269,1.1026,11.4354
Ramanathapuram,2026,1,3.0083,1.7955,4.2212
Ramanathapuram,2027,2,2.9025,0.9604,4.8446
Ramanathapuram,2028,3,2.9563,0.584,5.3285
Ramanathapuram,2029,4,2.929,0.1534,5.7045
Ramanathapuram,2030,5,2.9428,-0.1663,6.0519
Ranipet,2026,1,4.3554,2.9846,5.7263
Ranipet,2027,2,4.3381,1.9741,6.7022
Ranipet,2028,3,4.3373,1.2707,7.4038
Ranipet,2029,4,4.3372,0.7008,7.9737
Ranipet,2030,5,4.3372,0.2088,8.4657
Salem,2026,1,6.8906,2.9759,10.8053
Salem,2027,2,7.2627,2.0888,12.4366
Salem,2028,3,7.57,1.6206,13.5193
Salem,2029,4,7.8237,1.3465,14.3009
Salem,2030,5,8.0333,1.1785,14.888
Sivaganga,2026,1,3.8458,0.5345,7.157
Sivaganga,2027,2,3.8564,-1.3283,9.0412
Sivaganga,2028,3,3.8484,-2.3971,10.094
Sivaganga,2029,4,3.8544,-3.489,11.1978
Sivaganga,2030,5,3.8499,-4.3187,12.0186
Thanjavur,2026,1,4.2212,2.6348,5.8075
Thanjavur,2027,2,4.1087,2.2196,5.9977
Thanjavur,2028,3,4.0416,2.0325,6.0507
Thanjavur,2029,4,4.0017,1.9379,6.0654
Thanjavur,2030,5,3.9778,1.887,6.0687
The nilgiris,2026,1,2.4421,1.6378,3.2464
The nilgiris,2027,2,2.4324,1.619,3.2458
The nilgiris,2028,3,2.4326,1.6083,3.2569
The nilgiris,2029,4,2.4326,1.5976,3.2676
The nilgiris,2030,5,2.4326,1.587,3.2782
Theni,2026,1,6.0896,1.4154,10.7638
Theni,2027,2,6.2498,0.3208,12.1787
Theni,2028,3,6.3139,-0.4405,13.0684
Theni,2029,4,6.3397,-1.0801,13.7595
Theni,2030,5,6.35,-1.6552,14.3551
Thenkasi,2026,1,5.1158,2.4985,7.733
Thenkasi,2027,2,5.1861,1.9858,8.3864
Thenkasi,2028,3,5.2004,1.584,8.8167
Thenkasi,2029,4,5.2033,1.2275,9.1791
Thenkasi,2030,5,5.2039,0.901,9.5067
Thiruvallur,2026,1,4.2369,2.1024,6.3715
Thiruvallur,2027,2,4.1571,1.8031,6.5112
Thiruvallur,2028,3,4.1678,1.55,6.7856
Thiruvallur,2029,4,4.1664,1.3172,7.0155
Thiruvallur,2030,5,4.1666,1.1024,7.2307
Thiruvarur,2026,1,3.509,1.7075,5.3104
