District,Irrigation_Type,GW_Dependency_Ratio,GW_Trend_m_per_yr,Forecast_Horizon,Season,Predicted_GW_Depth_m,GW_Severity,Leading_Current_Crop,Top_Recommended_Crop,Rice_Viable,Viable_Crops_Ranked,Leading_Crop_Water_Req_Lkg,Recommended_Water_Req_Lkg,Potential_Water_Saving_pct,Rice_Attr_Weight,Dominant_Stress_Crop,CWSI
Ariyalur,Groundwater-dependent,0.92,0.114,1yr,Samba,4.05,Slow depletion,Rice,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Jowar(0.422) > Rice(0.581),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,1yr,Kuruvai,4.05,Slow depletion,Rice,Bajra,True,Bajra(0.239) > Groundnut(0.311) > Maize(0.335) > Jowar(0.438) > Rice(0.597),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,3yr,Samba,3.99,Slow depletion,Rice,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Jowar(0.422) > Rice(0.581),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,3yr,Kuruvai,3.99,Slow depletion,Rice,Bajra,True,Bajra(0.239) > Groundnut(0.311) > Maize(0.335) > Jowar(0.438) > Rice(0.597),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,5yr,Samba,3.98,Slow depletion,Rice,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Jowar(0.422) > Rice(0.581),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,5yr,Kuruvai,3.98,Slow depletion,Rice,Bajra,True,Bajra(0.239) > Groundnut(0.311) > Maize(0.335) > Jowar(0.438) > Rice(0.597),2500,400,84.0,0.4365,Jowar,1725.2
Chengalpattu,Mixed,0.477,0.219,1yr,Samba,2.92,Slow depletion,Rice,Bajra,True,Bajra(0.134) > Jowar(0.170) > Groundnut(0.206) > Rice(0.386) > Maize(0.590),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,1yr,Kuruvai,2.92,Slow depletion,Rice,Bajra,True,Bajra(0.162) > Jowar(0.198) > Groundnut(0.234) > Rice(0.414) > Maize(0.618),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,3yr,Samba,2.92,Slow depletion,Rice,Bajra,True,Bajra(0.134) > Jowar(0.170) > Groundnut(0.206) > Rice(0.386) > Maize(0.590),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,3yr,Kuruvai,2.92,Slow depletion,Rice,Bajra,True,Bajra(0.162) > Jowar(0.198) > Groundnut(0.234) > Rice(0.414) > Maize(0.618),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,5yr,Samba,2.87,Slow depletion,Rice,Bajra,True,Bajra(0.134) > Jowar(0.170) > Groundnut(0.206) > Rice(0.386) > Maize(0.590),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,5yr,Kuruvai,2.87,Slow depletion,Rice,Bajra,True,Bajra(0.162) > Jowar(0.198) > Groundnut(0.234) > Rice(0.414) > Maize(0.618),2500,400,84.0,0.0,Maize,2338.0
Chennai,Groundwater-dependent,0.785,-0.417,1yr,Samba,3.88,Stable/recovering,Rice,Bajra,True,Bajra(0.169) > Jowar(0.205) > Groundnut(0.241) > Maize(0.265) > Rice(0.781),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,1yr,Kuruvai,3.88,Stable/recovering,Rice,Bajra,True,Bajra(0.203) > Jowar(0.238) > Groundnut(0.275) > Maize(0.298) > Rice(0.815),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,3yr,Samba,3.87,Stable/recovering,Rice,Bajra,True,Bajra(0.169) > Jowar(0.205) > Groundnut(0.241) > Maize(0.265) > Rice(0.781),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,3yr,Kuruvai,3.87,Stable/recovering,Rice,Bajra,True,Bajra(0.203) > Jowar(0.238) > Groundnut(0.275) > Maize(0.298) > Rice(0.815),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,5yr,Samba,3.87,Stable/recovering,Rice,Bajra,True,Bajra(0.169) > Jowar(0.205) > Groundnut(0.241) > Maize(0.265) > Rice(0.781),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,5yr,Kuruvai,3.87,Stable/recovering,Rice,Bajra,True,Bajra(0.203) > Jowar(0.238) > Groundnut(0.275) > Maize(0.298) > Rice(0.815),2500,400,84.0,1.0,Rice,2487.7
Coimbatore,Groundwater-dependent,0.872,-0.432,1yr,Samba,11.66,Stable/recovering,Jowar,Bajra,False,Groundnut(0.305) > Bajra(0.309) > Jowar(0.462),700,400,42.9,0.0,Jowar,852.8
