District,Blended_Water_Saving_pct_1yr,Blended_Water_Saving_pct_3yr,Blended_Water_Saving_pct_5yr,Current_Water_Burden_Lkg_1yr,Current_Water_Burden_Lkg_3yr,Current_Water_Burden_Lkg_5yr,Leading_Current_Crop_1yr,Leading_Current_Crop_3yr,Leading_Current_Crop_5yr,Predicted_GW_Depth_m_1yr,Predicted_GW_Depth_m_3yr,Predicted_GW_Depth_m_5yr,Primary_Transition_Crop_1yr,Primary_Transition_Crop_3yr,Primary_Transition_Crop_5yr,Secondary_Transition_Crop_1yr,Secondary_Transition_Crop_3yr,Secondary_Transition_Crop_5yr,Target_Water_Burden_Lkg_1yr,Target_Water_Burden_Lkg_3yr,Target_Water_Burden_Lkg_5yr,Top_Recommended_Crop_1yr,Top_Recommended_Crop_3yr,Top_Recommended_Crop_5yr
Ariyalur,9.2,9.2,9.2,1725.0,1725.0,1725.0,Rice,Rice,Rice,4.6,3.98,3.36,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1566.0,1566.0,1566.0,Bajra,Bajra,Bajra
Chengalpattu,14.0,14.0,14.0,2338.0,2338.0,2338.0,Rice,Rice,Rice,3.51,2.87,2.23,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2011.0,2011.0,2011.0,Bajra,Bajra,Bajra
Chennai,14.6,14.6,14.6,2488.0,2488.0,2488.0,Rice,Rice,Rice,4.1,3.33,2.56,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2124.0,2124.0,2124.0,Bajra,Bajra,Bajra
Coimbatore,1.8,1.8,1.7,853.0,853.0,853.0,Jowar,Jowar,Jowar,12.23,11.09,9.94,Jowar,Jowar,Jowar,,,,837.0,837.0,838.0,Jowar,Jowar,Jowar
Cuddalore,12.7,12.7,12.7,2168.0,2168.0,2168.0,Rice,Rice,Rice,5.63,4.5,3.36,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1894.0,1894.0,1894.0,Bajra,Bajra,Bajra
Dharmapuri,9.3,9.3,9.3,1433.0,1433.0,1433.0,Jowar,Jowar,Jowar,7.61,5.16,2.7,Bajra,Bajra,Bajra,Groundnut,Groundnut,Groundnut,1299.0,1299.0,1299.0,Bajra,Bajra,Bajra
Dindigul,4.6,4.6,4.6,1141.0,1141.0,1141.0,Jowar,Jowar,Jowar,8.25,6.19,4.14,Bajra,Bajra,Bajra,,,,1089.0,1089.0,1089.0,Bajra,Bajra,Bajra
Erode,9.4,9.4,9.4,1743.0,1743.0,1743.0,Rice,Rice,Rice,6.25,5.15,4.05,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1580.0,1580.0,1580.0,Bajra,Bajra,Bajra
Kallakurichi,11.3,11.3,11.3,1865.0,1865.0,1865.0,Rice,Rice,Rice,7.66,5.34,3.02,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1655.0,1655.0,1655.0,Bajra,Bajra,Bajra
Kanchipuram,14.5,14.5,14.5,2451.0,2451.0,2451.0,Rice,Rice,Rice,2.98,2.19,1.4,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2096.0,2096.0,2096.0,Bajra,Bajra,Bajra
Kanniyakumari,14.6,14.6,14.6,2498.0,2498.0,2498.0,Rice,Rice,Rice,5.11,4.55,3.98,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2132.0,2132.0,2132.0,Bajra,Bajra,Bajra
Karur,10.2,10.2,10.2,1383.0,1383.0,1383.0,Jowar,Jowar,Jowar,5.75,4.78,3.8,Bajra,Bajra,Bajra,Groundnut,Groundnut,Groundnut,1242.0,1242.0,1242.0,Bajra,Bajra,Bajra
Krishnagiri,11.8,11.8,11.8,1885.0,1885.0,1885.0,Rice,Rice,Rice,7.69,5.61,3.52,Jowar,Jowar,Jowar,Bajra,Bajra,Bajra,1662.0,1662.0,1662.0,Jowar,Jowar,Jowar
Madurai,11.6,11.6,11.6,1975.0,1975.0,1975.0,Rice,Rice,Rice,6.25,4.72,3.19,Jowar,Jowar,Jowar,Bajra,Bajra,Bajra,1745.0,1745.0,1745.0,Jowar,Jowar,Jowar
Mayiladuthurai,0.0,0.0,0.0,2485.0,2485.0,2485.0,Rice,Rice,Rice,1.79,2.45,3.11,Rice,Rice,Rice,,,,2485.0,2485.0,2485.0,Rice,Rice,Rice
Nagapattinam,0.0,0.0,0.0,2474.0,2474.0,2474.0,Rice,Rice,Rice,3.18,2.85,2.51,Rice,Rice,Rice,,,,2474.0,2474.0,2474.0,Rice,Rice,Rice
Namakkal,3.4,3.4,3.4,973.0,973.0,973.0,Jowar,Jowar,Jowar,9.63,7.27,4.91,Bajra,Bajra,Bajra,,,,940.0,940.0,940.0,Bajra,Bajra,Bajra
Perambalur,2.7,2.7,2.7,1320.0,1320.0,1320.0,Maize,Maize,Maize,6.46,4.44,2.42,Maize,Maize,Maize,,,,1285.0,1285.0,1285.0,Maize,Maize,Maize
Pudukkottai,13.8,13.8,13.8,2326.0,2326.0,2326.0,Rice,Rice,Rice,5.68,5.07,4.46,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2006.0,2006.0,2006.0,Bajra,Bajra,Bajra
Ramanathapuram,14.6,14.6,14.6,2404.0,2404.0,2404.0,Rice,Rice,Rice,4.83,4.12,3.4,Jowar,Jowar,Jowar,Bajra,Bajra,Bajra,2053.0,2053.0,2053.0,Jowar,Jowar,Jowar
Ranipet,13.4,13.4,13.4,2216.0,2216.0,2216.0,Rice,Rice,Rice,5.36,4.14,2.93,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1919.0,1919.0,1919.0,Bajra,Bajra,Bajra
Salem,4.8,4.8,4.8,1191.0,1191.0,1191.0,Jowar,Jowar,Jowar,7.19,5.32,3.45,Bajra,Bajra,Bajra,,,,1134.0,1134.0,1134.0,Bajra,Bajra,Bajra
Sivaganga,14.5,14.5,14.5,2463.0,2463.0,2463.0,Rice,Rice,Rice,5.43,3.98,2.53,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2106.0,2106.0,2106.0,Bajra,Bajra,Bajra
Thanjavur,14.3,14.3,14.3,2444.0,2444.0,2444.0,Rice,Rice,Rice,3.65,3.44,3.22,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2094.0,2094.0,2094.0,Bajra,Bajra,Bajra
The nilgiris,14.1,14.1,14.1,2424.0,2424.0,2424.0,Rice,Rice,Rice,2.46,2.17,1.88,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2081.0,2081.0,2081.0,Bajra,Bajra,Bajra
Theni,10.1,10.1,10.1,1623.0,1623.0,1623.0,Rice,Rice,Rice,9.99,8.52,7.04,Jowar,Jowar,Jowar,Bajra,Bajra,Bajra,1458.0,1458.0,1458.0,Jowar,Jowar,Jowar
Thenkasi,11.5,11.5,11.5,2005.0,2005.0,2005.0,Rice,Rice,Rice,5.48,4.26,3.05,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1776.0,1776.0,1776.0,Bajra,Bajra,Bajra
Thiruvallur,14.3,14.3,14.3,2411.0,2411.0,2411.0,Rice,Rice,Rice,4.53,3.79,3.06,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,2065.0,2065.0,2065.0,Bajra,Bajra,Bajra
Thiruvarur,0.0,0.0,0.0,2482.0,2482.0,2482.0,Rice,Rice,Rice,3.59,2.87,2.14,Rice,Rice,Rice,,,,2482.0,2482.0,2482.0,Rice,Rice,Rice
Thoothukudi,4.0,4.0,4.0,1265.0,1265.0,1265.0,Maize,Maize,Maize,5.15,4.42,3.69,Jowar,Jowar,Jowar,Maize,Maize,Maize,1214.0,1214.0,1214.0,Jowar,Jowar,Jowar
Tiruchirappalli,11.2,11.2,11.2,1798.0,1798.0,1798.0,Rice,Rice,Rice,6.81,5.04,3.27,Jowar,Jowar,Jowar,Bajra,Bajra,Bajra,1595.0,1595.0,1595.0,Jowar,Jowar,Jowar
Tirunelveli,14.0,14.0,14.0,2460.0,2460.0,2460.0,Rice,Rice,Rice,5.37,4.94,4.51,Jowar,Jowar,Jowar,Bajra,Bajra,Bajra,2117.0,2117.0,2117.0,Jowar,Jowar,Jowar
Tirupathur,8.6,8.6,8.6,1466.0,1466.0,1466.0,Groundnut,Groundnut,Groundnut,5.36,3.66,1.96,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1340.0,1340.0,1340.0,Bajra,Bajra,Bajra
Tiruppur,4.6,4.6,4.6,1133.0,1133.0,1133.0,Jowar,Jowar,Jowar,8.67,7.39,6.11,Bajra,Bajra,Bajra,,,,1081.0,1081.0,1081.0,Bajra,Bajra,Bajra
Tiruvannamalai,12.5,12.5,12.5,2048.0,2048.0,2048.0,Rice,Rice,Rice,5.81,4.11,2.41,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1791.0,1791.0,1791.0,Bajra,Bajra,Bajra
Vellore,8.4,8.4,8.4,1483.0,1483.0,1483.0,Groundnut,Groundnut,Groundnut,5.54,3.96,2.39,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1358.0,1358.0,1358.0,Bajra,Bajra,Bajra
Villupuram,13.1,13.1,13.1,2049.0,2049.0,2049.0,Rice,Rice,Rice,5.77,3.95,2.14,Bajra,Bajra,Bajra,Jowar,Jowar,Jowar,1781.0,1781.0,1781.0,Bajra,Bajra,Bajra
Virudhunagar,8.0,8.0,8.0,1554.0,1554.0,1554.0,Maize,Maize,Maize,7.16,4.85,2.54,Jowar,Jowar,Jowar,Bajra,Bajra,Bajra,1429.0,1429.0,1429.0,Jowar,Jowar,Jowar
