District,Attr_Rice,Attr_Groundnut,Attr_Maize,Attr_Jowar,Attr_Bajra
Ariyalur,0.4365321346210119,0.0,0.0,0.5634678653789881,0.0
Chengalpattu,0.0,0.0,1.0,0.0,0.0
Chennai,1.0,0.0,0.0,0.0,0.0
Coimbatore,0.0,0.0,0.0,0.6300403182483416,0.3699596817516584
Cuddalore,0.0,0.1433879355176682,0.2451185657258125,0.4807669685294108,0.13072653022710853
Dharmapuri,0.0,0.0,0.2630316370787774,0.7369683629212226,0.0
Dindigul,0.0,0.0,0.0,1.0,0.0
Erode,0.0,0.07688785678414486,0.19660599080030391,0.3574764724121126,0.36902968000343866
Kallakurichi,0.43103448275862066,0.17241379310344826,0.2068965517241379,0.12068965517241378,0.06896551724137931
Kanchipuram,1.0,0.0,0.0,0.0,0.0
Kanniyakumari,0.73280146894987,0.0,0.0,0.26719853105013003,0.0
Karur,0.07757679814900129,0.0631562058647269,0.6041778610044944,0.0,0.25508913498177743
Krishnagiri,0.4650806808467218,0.0,0.08374674875038861,0.16194921659922074,0.2892233538036689
Madurai,0.0,0.0,0.07094138401460501,0.7470039971971792,0.18205461878821574
Mayiladuthurai,0.43103448275862066,0.17241379310344826,0.2068965517241379,0.12068965517241378,0.06896551724137931
Nagapattinam,0.27490717992370306,0.0,0.7250928200762968,0.0,0.0
Namakkal,0.0,0.0,0.0,0.4714712541015725,0.5285287458984275
Perambalur,0.0,0.33874883575000614,0.0,0.63771017499942,0.023540989250573758
Pudukkottai,0.11563584184182467,0.0,0.32630353843315485,0.0,0.5580606197250204
Ramanathapuram,0.0,0.0,0.08468722915885767,0.4630437499271825,0.45226902091395965
Ranipet,0.43103448275862066,0.17241379310344826,0.2068965517241379,0.12068965517241378,0.06896551724137931
Salem,0.0,0.0,0.0,0.5102180569562003,0.4897819430437998
Sivaganga,0.0,0.00014437049773043692,0.06479887936059704,0.5589552044442228,0.37610154569744975
Thanjavur,0.4809169235678581,0.0,0.4804409296138925,0.0,0.03864214681824933
The nilgiris,0.21092478897564568,0.0,0.0,0.7890752110243544,0.0
Theni,0.0,0.0,0.06557267851508256,0.7167756274285376,0.21765169405637977
Thenkasi,0.43103448275862066,0.17241379310344826,0.2068965517241379,0.12068965517241378,0.06896551724137931
Thiruvallur,0.40689084521728824,0.0,0.0,0.0,0.5931091547827119
Thiruvarur,0.06808167988740241,0.0,0.8294216696393585,0.10249665047323907,0.0
Thoothukudi,0.0,0.0,0.0,0.5719497365593846,0.4280502634406153
Tiruchirappalli,0.0,0.0,0.0,0.6856842782103914,0.31431572178960865
Tirunelveli,0.0,0.0,0.2604344985375701,0.10827188396198406,0.6312936175004458
Tirupathur,0.43103448275862066,0.17241379310344826,0.2068965517241379,0.12068965517241378,0.06896551724137931
Tiruppur,0.0,0.0,0.0,0.7917279710111329,0.20827202898886704
Tiruvannamalai,0.0,0.0,0.0,0.25118259299122425,0.7488174070087756
Vellore,0.4342918263368712,0.0,0.32596560883374065,0.0,0.2397425648293881
Villupuram,0.0,0.0,0.3327080108235598,0.3066773273146892,0.360614661861751
Virudhunagar,0.0,0.21558531289590138,0.0,0.5347617563137682,0.2496529307903304
