District,Tier,Tier_Label,Tier_Color,CASA_Pred_1yr,CASA_Pred_3yr,CASA_Pred_5yr,GW_Trend_m_per_yr,GW_Dep_Ratio,Recommended_Crop,Rec_Crop_Original,Primary_Transition_Crop,Secondary_Transition_Crop,Recommendation_Type,Recommendation_Text,GW_Severity,Current_Rice_pct,Target_Rice_pct,Current_Groundnut_pct,Target_Groundnut_pct,Current_Jowar_pct,Target_Jowar_pct,Current_Bajra_pct,Target_Bajra_pct,Current_Maize_pct,Target_Maize_pct
Ariyalur,2,Plan Now (within 3 years),#e67e22,5.267296,4.646581551688058,4.025867265973773,-0.22963636363633447,0.919897092616645,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 9% blended water saving. Target mix: Rice 45%→36%, Jowar 0%→3%, Bajra 2%→5%. Prioritise in Samba season. Coordinate with block agricultural officer.",Slow depletion,45.1,36.1,22.0,23.5,0.1,2.8,2.1,5.2,30.7,32.3
Chengalpattu,3,Monitor (3-5 year horizon),#f1c40f,3.6681194,3.029548001970564,2.3909765733991355,-0.9449999999996402,0.47723980645360126,Bajra,Bajra,Bajra,Jowar,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 89%→71%, Groundnut 11%→15%, Jowar 0%→6%, Bajra 0%→7%. Advisory for Tier 3 districts — monitor GW trend before committing.",Slow depletion,89.2,71.4,10.8,15.3,0.0,6.2,0.0,6.9,0.0,0.3
Chennai,3,Monitor (3-5 year horizon),#f1c40f,4.2062583,3.432788685437731,2.659319073908909,-0.3004553049290253,0.7852112676056338,Bajra,Bajra,Bajra,Jowar,Advisory,"Consider transitioning toward Bajra (15% water saving potential). Suggested mix: Rice 99%→79%, Groundnut 1%→6%, Jowar 0%→7%, Bajra 0%→8%. Advisory for Tier 3 districts — monitor GW trend before committing.",Stable/recovering,99.2,79.3,0.8,5.8,0.0,6.9,0.0,7.6,0.0,0.3
Coimbatore,1,Act Now (within 1 year),#c0392b,11.681106,10.533248470851351,9.38539132799421,0.12872727272730658,0.8717845219775138,Jowar,Jowar,Jowar,,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,Stable/recovering,3.7,3.0,10.4,10.5,73.8,73.8,0.7,1.4,11.3,11.3
Cuddalore,2,Plan Now (within 3 years),#e67e22,5.6712036,4.53620361328125,3.40120361328125,-0.14063636363635246,0.6714114806828521,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 13% blended water saving. Target mix: Rice 77%→62%, Groundnut 6%→9%, Jowar 0%→5%, Bajra 3%→8%, Maize 14%→17%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,77.1,61.7,6.5,8.6,0.0,4.8,2.6,8.3,13.8,16.6
Dharmapuri,2,Plan Now (within 3 years),#e67e22,7.55583,5.100115716116768,2.6444014304024828,-0.15845454545453808,1.0,Bajra,Bajra,Bajra,Groundnut,Switch,"Transition to Bajra and Groundnut — 9% blended water saving. Target mix: Rice 36%→28%, Bajra 0%→5%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,35.6,28.5,20.2,22.1,37.8,37.8,0.2,4.8,6.3,6.8
Dindigul,1,Act Now (within 1 year),#c0392b,8.332734,6.28130553654262,4.229876965114049,-0.13390909090905362,0.887579656126007,Jowar,Bajra,Bajra,,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,Stable/recovering,14.4,11.5,5.4,5.8,46.5,46.5,0.2,2.0,33.5,34.2
Erode,2,Plan Now (within 3 years),#e67e22,6.9836183,5.883618259429931,4.783618259429931,-0.21381818181815093,0.5920192258700046,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 9% blended water saving. Target mix: Rice 46%→37%, Groundnut 30%→32%, Jowar 0%→3%, Bajra 0%→3%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,46.4,37.1,29.5,31.6,0.0,2.8,0.1,3.2,23.9,25.3
Kallakurichi,1,Act Now (within 1 year),#c0392b,8.227007,5.90629262651716,3.585578340802874,-3.2500000000000644,0.8536794759336331,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 11% blended water saving. Target mix: Rice 58%→47%, Jowar 0%→4%, Bajra 10%→15%, Maize 25%→27%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,58.4,46.8,6.7,7.8,0.0,3.6,10.1,14.9,24.8,26.9
Kanchipuram,3,Monitor (3-5 year horizon),#f1c40f,3.3383136,2.548313579559326,1.758313579559326,0.10862407862407553,0.36490402476780187,Bajra,Bajra,Bajra,Jowar,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 97%→77%, Groundnut 3%→8%, Jowar 0%→7%, Bajra 0%→7%. Advisory for Tier 3 districts — monitor GW trend before committing.",Slow depletion,96.7,77.4,3.3,8.2,0.0,6.7,0.0,7.4,0.0,0.3
