District,Date,Year,Month_Num,GW_Depth_m
Ariyalur,2011-01-01,2011,1,5.74
Ariyalur,2011-02-01,2011,2,5.74
Ariyalur,2011-03-01,2011,3,5.74
Ariyalur,2011-04-01,2011,4,5.74
Ariyalur,2011-05-01,2011,5,5.74
Ariyalur,2011-06-01,2011,6,5.74
Ariyalur,2011-07-01,2011,7,5.74
Ariyalur,2011-08-01,2011,8,5.74
Ariyalur,2011-11-01,2011,11,5.74
Ariyalur,2011-12-01,2011,12,5.74
Ariyalur,2012-01-01,2012,1,5.74
Ariyalur,2012-02-01,2012,2,5.74
Ariyalur,2012-03-01,2012,3,5.74
Ariyalur,2012-04-01,2012,4,5.74
Ariyalur,2012-05-01,2012,5,5.74
Ariyalur,2012-06-01,2012,6,5.74
Ariyalur,2012-07-01,2012,7,5.74
Ariyalur,2012-08-01,2012,8,5.74
Ariyalur,2012-09-01,2012,9,5.74
Ariyalur,2012-10-01,2012,10,9.83
Ariyalur,2012-11-01,2012,11,4.55
Ariyalur,2012-12-01,2012,12,2.67
Ariyalur,2013-01-01,2013,1,4.52
Ariyalur,2013-02-01,2013,2,4.75
Ariyalur,2013-03-01,2013,3,4.92
Ariyalur,2013-04-01,2013,4,6.25
Ariyalur,2013-05-01,2013,5,6.31
Ariyalur,2013-06-01,2013,6,6.28
Ariyalur,2013-07-01,2013,7,6.4
Ariyalur,2013-08-01,2013,8,6.25
Ariyalur,2013-09-01,2013,9,5.91
Ariyalur,2013-10-01,2013,10,5.22
Ariyalur,2013-11-01,2013,11,4.66
Ariyalur,2013-12-01,2013,12,3.43
Ariyalur,2014-01-01,2014,1,3.77
Ariyalur,2014-02-01,2014,2,4.7
Ariyalur,2014-03-01,2014,3,5.22
Ariyalur,2014-04-01,2014,4,5.22
Ariyalur,2014-05-01,2014,5,9.03
Ariyalur,2014-06-01,2014,6,5.41
Ariyalur,2014-07-01,2014,7,5.51
Ariyalur,2014-08-01,2014,8,5.29
Ariyalur,2014-09-01,2014,9,5.16
Ariyalur,2014-10-01,2014,10,5.24
Ariyalur,2014-11-01,2014,11,3.57
Ariyalur,2014-12-01,2014,12,3.74
Ariyalur,2015-01-01,2015,1,4.11
Ariyalur,2015-02-01,2015,2,4.53
Ariyalur,2015-03-01,2015,3,4.96
Ariyalur,2015-04-01,2015,4,4.85
Ariyalur,2015-05-01,2015,5,4.72
Ariyalur,2015-06-01,2015,6,4.96
Ariyalur,2015-07-01,2015,7,5.54
Ariyalur,2015-08-01,2015,8,5.08
Ariyalur,2015-09-01,2015,9,4.8
Ariyalur,2015-10-01,2015,10,2.96
Ariyalur,2015-11-01,2015,11,2.19
Ariyalur,2016-01-01,2016,1,2.74
Ariyalur,2016-02-01,2016,2,3.32
Ariyalur,2016-03-01,2016,3,4.2
Ariyalur,2016-04-01,2016,4,4.65
Ariyalur,2016-05-01,2016,5,5.72
Ariyalur,2016-06-01,2016,6,7.73
Ariyalur,2016-07-01,2016,7,7.17
Ariyalur,2016-08-01,2016,8,4.76
Ariyalur,2016-09-01,2016,9,4.24
Ariyalur,2016-10-01,2016,10,4.71
Ariyalur,2016-11-01,2016,11,3.69
Ariyalur,2017-01-01,2017,1,4.31
Ariyalur,2017-02-01,2017,2,4.85
Ariyalur,2017-03-01,2017,3,5.31
Ariyalur,2017-04-01,2017,4,6.24
Ariyalur,2017-05-01,2017,5,6.43
Ariyalur,2017-06-01,2017,6,6.07
Ariyalur,2017-07-01,2017,7,6.05
Ariyalur,2017-08-01,2017,8,5.67
Ariyalur,2017-09-01,2017,9,4.8
Ariyalur,2017-10-01,2017,10,3.96
Ariyalur,2017-11-01,2017,11,2.86
Ariyalur,2018-01-01,2018,1,3.57
Ariyalur,2018-02-01,2018,2,3.83
Ariyalur,2018-03-01,2018,3,4.87
Ariyalur,2018-04-01,2018,4,5.18
Ariyalur,2018-05-01,2018,5,5.72
Ariyalur,2018-06-01,2018,6,6.06
Ariyalur,2018-07-01,2018,7,6.47
Ariyalur,2018-08-01,2018,8,6.8
Ariyalur,2018-09-01,2018,9,6.92
Ariyalur,2018-10-01,2018,10,6.59
Ariyalur,2018-11-01,2018,11,5.85
Ariyalur,2019-01-01,2019,1,5.84
Ariyalur,2019-02-01,2019,2,6.04
Ariyalur,2019-03-01,2019,3,6.28
Ariyalur,2019-04-01,2019,4,6.59
Ariyalur,2019-05-01,2019,5,7.07
Ariyalur,2019-06-01,2019,6,7.49
Ariyalur,2019-07-01,2019,7,7.51
Ariyalur,2019-08-01,2019,8,7.1
Ariyalur,2019-09-01,2019,9,6.75
Ariyalur,2019-10-01,2019,10,4.78
Ariyalur,2019-11-01,2019,11,2.3
Ariyalur,2020-01-01,2020,1,2.79
Ariyalur,2020-02-01,2020,2,3.35
Ariyalur,2020-03-01,2020,3,3.35
Ariyalur,2020-04-01,2020,4,4.83
Ariyalur,2020-05-01,2020,5,5.35
Ariyalur,2020-06-01,2020,6,5.77
Ariyalur,2020-07-01,2020,7,5.94
Ariyalur,2020-08-01,2020,8,5.79
Ariyalur,2020-09-01,2020,9,5.41
Ariyalur,2020-10-01,2020,10,5.13
Ariyalur,2020-11-01,2020,11,4.66
Ariyalur,2020-12-01,2020,12,3.35
Ariyalur,2021-01-01,2021,1,2.04
Ariyalur,2021-02-01,2021,2,2.09
Ariyalur,2021-03-01,2021,3,2.9
Ariyalur,2021-04-01,2021,4,3.21
Ariyalur,2021-05-01,2021,5,4.33
Ariyalur,2021-06-01,2021,6,3.62
Ariyalur,2021-07-01,2021,7,3.81
Ariyalur,2021-08-01,2021,8,4.13
Ariyalur,2021-09-01,2021,9,3.96
Ariyalur,2021-10-01,2021,10,3.52
Ariyalur,2021-11-01,2021,11,2.42
Ariyalur,2022-01-01,2022,1,1.95
Ariyalur,2022-02-01,2022,2,2.57
Ariyalur,2022-03-01,2022,3,3.03
Ariyalur,2022-04-01,2022,4,3.37
Ariyalur,2022-05-01,2022,5,3.54
Ariyalur,2022-06-01,2022,6,3.9
Ariyalur,2022-07-01,2022,7,3.43
Ariyalur,2022-08-01,2022,8,3.13
Ariyalur,2022-09-01,2022,9,2.98
Ariyalur,2022-10-01,2022,10,2.7
Ariyalur,2022-11-01,2022,11,2.54
Ariyalur,2023-01-01,2023,1,2.93
Ariyalur,2023-02-01,2023,2,4.22
Ariyalur,2023-03-01,2023,3,4.61
Ariyalur,2023-04-01,2023,4,4.72
Ariyalur,2023-05-01,2023,5,5.0
Ariyalur,2023-06-01,2023,6,5.34
Ariyalur,2023-07-01,2023,7,4.73
Ariyalur,2023-08-01,2023,8,4.52
Ariyalur,2023-09-01,2023,9,4.72
Ariyalur,2023-10-01,2023,10,4.82
Ariyalur,2023-11-01,2023,11,3.41
Ariyalur,2024-01-01,2024,1,3.89
Ariyalur,2024-02-01,2024,2,4.08
Ariyalur,2024-03-01,2024,3,4.94
Ariyalur,2024-04-01,2024,4,5.25
Ariyalur,2024-05-01,2024,5,5.08
Ariyalur,2024-06-01,2024,6,5.29
Ariyalur,2024-07-01,2024,7,5.27
Ariyalur,2024-08-01,2024,8,4.93
Ariyalur,2024-09-01,2024,9,4.93
Ariyalur,2024-10-01,2024,10,4.73
Ariyalur,2024-11-01,2024,11,3.55
Ariyalur,2025-01-01,2025,1,2.98
Ariyalur,2025-02-01,2025,2,3.7
Ariyalur,2025-03-01,2025,3,4.13
Ariyalur,2025-04-01,2025,4,3.49
Ariyalur,2025-05-01,2025,5,4.13
Ariyalur,2025-06-01,2025,6,3.91
Ariyalur,2025-07-01,2025,7,3.7
Ariyalur,2025-08-01,2025,8,3.74
Ariyalur,2025-09-01,2025,9,3.74
Ariyalur,2025-10-01,2025,10,3.49
Ariyalur,2025-11-01,2025,11,4.08
Ariyalur,2025-12-01,2025,12,4.0
Chengalpattu,2011-01-01,2011,1,5.84
Chengalpattu,2011-02-01,2011,2,5.84
Chengalpattu,2011-03-01,2011,3,5.84
Chengalpattu,2011-04-01,2011,4,5.84
Chengalpattu,2011-05-01,2011,5,5.84
Chengalpattu,2011-06-01,2011,6,5.84
Chengalpattu,2011-07-01,2011,7,5.84
Chengalpattu,2011-08-01,2011,8,5.84
Chengalpattu,2011-11-01,2011,11,5.84
Chengalpattu,2011-12-01,2011,12,5.84
Chengalpattu,2012-01-01,2012,1,5.84
