District,Date,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22,H_23,H_24,H_25,H_26,H_27,H_28,H_29,H_30,H_31
Ariyalur,2012-03-01,0.031042883,0.092206575,0.05253969,0.0011213939,-0.058448292,0.05395228,-0.039006095,-0.06741933,-0.026835172,0.0081295315,0.11716132,0.0071126353,-0.006655244,0.10046185,-0.06541072,0.04125385,0.049462646,-0.08820375,0.06197223,0.014015268,0.040205743,-0.019779492,-0.046243843,0.054338776,-0.11704345,0.09791075,0.04412328,-0.062175192,0.025985446,-0.094050586,0.022890963,-0.07607094
Ariyalur,2012-04-01,0.031042883,0.092206575,0.05253969,0.0011213939,-0.058448292,0.05395228,-0.039006095,-0.06741933,-0.026835172,0.0081295315,0.11716132,0.0071126353,-0.006655244,0.10046185,-0.06541072,0.04125385,0.049462646,-0.08820375,0.06197223,0.014015268,0.040205743,-0.019779492,-0.046243843,0.054338776,-0.11704345,0.09791075,0.04412328,-0.062175192,0.025985446,-0.094050586,0.022890963,-0.07607094
Ariyalur,2012-05-01,0.031042883,0.092206575,0.05253969,0.0011213939,-0.058448292,0.05395228,-0.039006095,-0.06741933,-0.026835172,0.0081295315,0.11716132,0.0071126353,-0.006655244,0.10046185,-0.06541072,0.04125385,0.049462646,-0.08820375,0.06197223,0.014015268,0.040205743,-0.019779492,-0.046243843,0.054338776,-0.11704345,0.09791075,0.04412328,-0.062175192,0.025985446,-0.094050586,0.022890963,-0.07607094
Ariyalur,2012-06-01,0.031042883,0.092206575,0.05253969,0.0011213939,-0.058448292,0.05395228,-0.039006095,-0.06741933,-0.026835172,0.0081295315,0.11716132,0.0071126353,-0.006655244,0.10046185,-0.06541072,0.04125385,0.049462646,-0.08820375,0.06197223,0.014015268,0.040205743,-0.019779492,-0.046243843,0.054338776,-0.11704345,0.09791075,0.04412328,-0.062175192,0.025985446,-0.094050586,0.022890963,-0.07607094
Ariyalur,2012-07-01,0.031042883,0.092206575,0.05253969,0.0011213939,-0.058448292,0.05395228,-0.039006095,-0.06741933,-0.026835172,0.0081295315,0.11716132,0.0071126353,-0.006655244,0.10046185,-0.06541072,0.04125385,0.049462646,-0.08820375,0.06197223,0.014015268,0.040205743,-0.019779492,-0.046243843,0.054338776,-0.11704345,0.09791075,0.04412328,-0.062175192,0.025985446,-0.094050586,0.022890963,-0.07607094
Ariyalur,2012-08-01,0.031042883,0.092206575,0.05253969,0.0011213939,-0.058448292,0.05395228,-0.039006095,-0.06741933,-0.026835172,0.0081295315,0.11716132,0.0071126353,-0.006655244,0.10046185,-0.06541072,0.04125385,0.049462646,-0.08820375,0.06197223,0.014015268,0.040205743,-0.019779492,-0.046243843,0.054338776,-0.11704345,0.09791075,0.04412328,-0.062175192,0.025985446,-0.094050586,0.022890963,-0.07607094
Ariyalur,2012-09-01,0.031042883,0.092206575,0.05253969,0.0011213939,-0.058448292,0.05395228,-0.039006095,-0.06741933,-0.026835172,0.0081295315,0.11716132,0.0071126353,-0.006655244,0.10046185,-0.06541072,0.04125385,0.049462646,-0.08820375,0.06197223,0.014015268,0.040205743,-0.019779492,-0.046243843,0.054338776,-0.11704345,0.09791075,0.04412328,-0.062175192,0.025985446,-0.094050586,0.022890963,-0.07607094
Ariyalur,2012-10-01,0.031042883,0.092206575,0.05253969,0.0011213939,-0.058448292,0.05395228,-0.039006095,-0.06741933,-0.026835172,0.0081295315,0.11716132,0.0071126353,-0.006655244,0.10046185,-0.06541072,0.04125385,0.049462646,-0.08820375,0.06197223,0.014015268,0.040205743,-0.019779492,-0.046243843,0.054338776,-0.11704345,0.09791075,0.04412328,-0.062175192,0.025985446,-0.094050586,0.022890963,-0.07607094
Ariyalur,2012-11-01,0.031714767,0.09862669,0.0551433,0.0006862822,-0.060435396,0.05380452,-0.03830084,-0.06715244,-0.026799947,0.00596269,0.12209428,0.0076938733,-0.0064156232,0.10525683,-0.06558361,0.043134984,0.052359913,-0.09005435,0.06532692,0.013824102,0.0401538,-0.020563185,-0.04579443,0.055784002,-0.121995986,0.10156815,0.045460243,-0.0650189,0.027197165,-0.10071987,0.023488099,-0.07993364
Ariyalur,2012-12-01,0.032270864,0.09897029,0.055299077,0.0006532586,-0.06086111,0.05437144,-0.03886994,-0.06792871,-0.02668102,0.00596185,0.123247534,0.007825801,-0.006653434,0.1071644,-0.06626957,0.043363176,0.052853208,-0.091062576,0.06535597,0.013950727,0.0405607,-0.020842979,-0.04634092,0.05672815,-0.12295561,0.10271208,0.046295695,-0.06575858,0.027274324,-0.10147739,0.023987975,-0.0812968
