District,Year,Rice_Area,Rice_Production,Rice_Yield,Groundnut_Area,Groundnut_Production,Groundnut_Yield,Jowar_Area,Jowar_Production,Jowar_Yield,Bajra_Area,Bajra_Production,Bajra_Yield,Maize_Area,Maize_Production,Maize_Yield,Total_Area,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,GW_Jan,GW_May,GW_Annual_Mean,GW_Max_Depth,Crop_Water_Stress_Index
Ariyalur,2011,24097.0,97257.0,4.0360625804042,13027.0,53859.0,4.134413141935979,1674.0,2136.0,1.275985663082437,596.0,1517.0,2.545302013422819,12135.0,63255.0,5.212608158220025,51529.0,0.4676395815948301,0.2528090977895942,0.03248656096566982,0.01156630247045353,0.23549845717945234,5.74,5.74,5.74,5.74,1731.8733140561626
Ariyalur,2012,17523.0,36392.0,2.0768133310506194,9108.0,23014.0,2.5267896354852875,0.0,,,0.0,,,14743.0,35469.0,2.405819711049312,41374.0,0.42352685261275197,0.2201382510755547,0.0,0.0,0.35633489631169335,5.74,5.74,5.725833333333334,9.83,1706.5572581814668
Ariyalur,2013,24437.0,131658.0,5.387649875189262,10007.0,42928.0,4.2897971420006,872.0,1140.0,1.3073394495412844,872.0,3078.0,3.529816513761468,17768.0,94333.0,5.309151283205763,53956.0,0.4529060716139076,0.18546593520646454,0.016161316628363852,0.016161316628363852,0.32930535992290016,4.52,6.31,5.408333333333334,6.4,1730.6749944399141
Ariyalur,2014,23108.0,116239.0,5.030249264324044,8967.0,38313.0,4.272666443626631,775.0,2003.0,2.584516129032258,721.0,2353.0,3.263522884882108,14825.0,142735.0,9.627993254637436,48396.0,0.4774774774774775,0.18528390776097198,0.016013720142160508,0.014897925448384164,0.3063269691710059,3.77,9.03,5.155,9.03,1763.7387387387384
Ariyalur,2015,24408.0,124179.0,5.087635201573255,8593.0,36234.0,4.21668800186198,305.0,323.0,1.0590163934426229,708.0,2449.0,3.459039548022599,17246.0,131894.0,7.647802388959759,51260.0,0.47616074912212253,0.16763558330081935,0.005950058525165822,0.013811939133827545,0.3364416699180648,4.11,4.72,4.427272727272728,5.54,1771.4572766289505
Ariyalur,2016,15398.0,44524.0,2.8915443564099235,8620.0,33682.0,3.9074245939675176,725.0,599.0,0.8262068965517242,1006.0,4295.0,4.269383697813121,15343.0,60115.0,3.918073388515936,41092.0,0.3747201401732697,0.20977319186216295,0.01764333690256011,0.02448165092962134,0.3733816801323859,2.74,5.72,4.8118181818181816,7.73,1616.7745546578408
Ariyalur,2017,22664.0,99223.0,4.378000352982704,9850.0,38232.0,3.881421319796954,253.0,287.0,1.134387351778656,1486.0,3497.0,2.353297442799461,14997.0,127902.0,8.528505701140228,49250.0,0.4601827411167513,0.2,0.0051370558375634515,0.03017258883248731,0.304507614213198,4.31,6.43,5.140909090909091,6.43,1731.5309644670053
Ariyalur,2018,22792.0,89455.0,3.92484204984205,9105.0,37523.0,4.121142229544207,116.0,134.0,1.1551724137931034,830.0,1928.0,2.3228915662650604,16139.0,97614.0,6.048330131978437,48982.0,0.46531378873872037,0.18588461067330855,0.002368216896002613,0.016945000204156627,0.32948838348781184,3.57,5.72,5.623636363636364,6.92,1752.990894614348
Ariyalur,2019,23224.0,89656.0,3.8604891491560456,8962.0,36389.0,4.060365989734434,21.0,25.0,1.1904761904761905,1031.0,3383.0,3.281280310378273,15374.0,114107.0,7.422076232600494,48612.0,0.47774212128692506,0.1843577717436024,0.0004319921007158726,0.02120875503990784,0.31625935982884884,5.84,7.07,6.159090909090909,7.51,1767.010203241998
Ariyalur,2020,24011.0,74323.0,3.095372954062721,11803.0,42910.0,3.635516394137084,31.0,32.0,1.032258064516129,1364.0,4262.0,3.124633431085044,17564.0,59606.0,3.393646094283762,54773.0,0.43837292096470887,0.2154893834553521,0.0005659722856151754,0.024902780567067715,0.32066894272725616,2.79,5.35,4.6433333333333335,5.94,1706.5817099665892
