District,GW_May,CASA_Pred_1yr,CASA_Pred_3yr,CASA_Pred_5yr,GW_Trend_m_per_yr,GW_Dep_Ratio,Canal_Dep_Ratio,SW_Monsoon_Actual_mm,SW_Monsoon_Normal_mm,NE_Monsoon_Actual_mm,NE_Monsoon_Normal_mm,Annual_Actual_mm,Annual_Normal_mm,Recommended_Crop,Primary_Transition_Crop,Secondary_Transition_Crop,Potential_Water_Saving_pct,Current_Water_Req_Lkg,Recommended_Water_Req_Lkg,Current_Water_Burden_Lkg,Target_Water_Burden_Lkg,Leading_Current_Crop,GW_Severity,Current_Rice_pct,Current_Groundnut_pct,Current_Jowar_pct,Current_Bajra_pct,Current_Maize_pct,Target_Rice_pct,Target_Groundnut_pct,Target_Jowar_pct,Target_Bajra_pct,Target_Maize_pct,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,Tier,Tier_Label,Tier_Color,Feasibility_Score,Feasibility_Label,Rec_Crop_Original,Recommendation_Type,Recommendation_Text,Flood_Risk,Flood_Actions,Drought_Fallback_Crop,Drought_Risk,Drought_Actions,Policy_Narrative,SHAP_Top_Driver,SHAP_Top_Value,SHAP_Top_Driver_Label
Ariyalur,3.54,5.267296,4.646581551688058,4.025867265973773,-0.22963636363633447,0.919897092616645,0.05062943350984114,254.5,314.8,284.2,501.9,756.9,925.8,Bajra,Bajra,Jowar,9.2,2500,400,1725.0,1566.0,Rice,Slow depletion,45.1,22.0,0.1,2.1,30.7,36.1,23.5,2.8,5.2,32.3,0.4511942922138351,0.2196084513838624,0.0008444490400854,0.0212146279254127,0.3071381794368042,2,Plan Now (within 3 years),#e67e22,31.6,Low,Bajra,Switch,"Transition to Bajra and Jowar — 9% blended water saving. Target mix: Rice 45%→36%, Jowar 0%→3%, Bajra 2%→5%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Bajra,MEDIUM,SW monsoon 19% below normal. Recommend switching to Bajra for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.3m.,Ariyalur is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.27m in 2026 and 4.03m by 2028. The water table is currently recovering at 0.23 metres per year. The district is 92% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 9% per kilogram of output.,LSTM_Memory,-0.0320436259989295,cumulative seasonal depletion memory
Chengalpattu,3.77,3.6681194,3.029548001970564,2.3909765733991355,-0.9449999999996402,0.47723980645360126,0.0034209634172650783,619.8,398.3,747.1,707.7,1600.5,1186.7,Bajra,Bajra,Jowar,14.0,2500,400,2338.0,2011.0,Rice,Slow depletion,89.2,10.8,0.0,0.0,0.0,71.4,15.3,6.2,6.9,0.3,0.8920807332596754,0.107608035978276,3.112307620485209e-05,0.0002022999953315,7.780769051213022e-05,3,Monitor (3-5 year horizon),#f1c40f,28.1,Low,Bajra,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 89%→71%, Groundnut 11%→15%, Jowar 0%→6%, Bajra 0%→7%. Advisory for Tier 3 districts — monitor GW trend before committing.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Groundnut.,Chengalpattu is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 3.67m in 2026 and 2.39m by 2028. The water table is currently recovering at 0.94 metres per year. The district is 48% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 14% per kilogram of output.,ARIMA_Fitted,-0.0370927080383063,long-term structural decline trend
Chennai,3.696315789473684,4.2062583,3.432788685437731,2.659319073908909,-0.3004553049290253,0.7852112676056338,0.0,778.7,448.5,1088.9,809.6,1950.9,1346.2,Bajra,Bajra,Jowar,14.6,2500,400,2488.0,2124.0,Rice,Stable/recovering,99.2,0.8,0.0,0.0,0.0,79.3,5.8,6.9,7.6,0.3,0.9918032786885246,0.0081967213114754,0.0,0.0,0.0,3,Monitor (3-5 year horizon),#f1c40f,28.8,Low,Bajra,Advisory,"Consider transitioning toward Bajra (15% water saving potential). Suggested mix: Rice 99%→79%, Groundnut 1%→6%, Jowar 0%→7%, Bajra 0%→8%. Advisory for Tier 3 districts — monitor GW trend before committing.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Rice,MEDIUM,SW monsoon -74% below normal. Recommend switching to Rice for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 5.2m.,Chennai is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.21m in 2026 and 2.66m by 2028. The water table is currently recovering at 0.30 metres per year. The district is 79% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 15% per kilogram of output.,ARIMA_Fitted,-0.0358901858676825,long-term structural decline trend
Coimbatore,11.53,11.681106,10.533248470851351,9.38539132799421,0.12872727272730658,0.8717845219775138,0.12777819823910794,588.1,689.1,500.8,337.6,1510.2,1205.8,Jowar,Jowar,,1.8,700,700,853.0,837.0,Jowar,Stable/recovering,3.7,10.4,73.8,0.7,11.3,3.0,10.5,73.8,1.4,11.3,0.0371193598577461,0.1044676594798844,0.7379735179246182,0.0069539262693296,0.1134855364684215,1,Act Now (within 1 year),#c0392b,73.7,High,Jowar,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon 15% below normal with GW at 11.7m and 87% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Coimbatore is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 11.68m in 2026 and 9.39m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 87% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is driving depletion upward; cumulative seasonal depletion memory is moderating depletion; Rice cultivation expansion is moderating depletion. Recommended transition to Jowar could reduce water consumption by 2% per kilogram of output.,ARIMA_Fitted,0.2439482117859614,long-term structural decline trend
Cuddalore,4.55,5.6712036,4.53620361328125,3.40120361328125,-0.14063636363635246,0.6714114806828521,0.3107936758100451,376.3,355.7,537.6,701.5,1247.8,1178.6,Bajra,Bajra,Jowar,12.7,2500,400,2168.0,1894.0,Rice,Stable/recovering,77.1,6.5,0.0,2.6,13.8,61.7,8.6,4.8,8.3,16.6,0.7707685645763013,0.0652147361875999,5.551607745603126e-06,0.025653979392432,0.1383571682359211,2,Plan Now (within 3 years),#e67e22,31.6,Low,Bajra,Switch,"Transition to Bajra and Jowar — 13% blended water saving. Target mix: Rice 77%→62%, Groundnut 6%→9%, Jowar 0%→5%, Bajra 3%→8%, Maize 14%→17%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Bajra,MEDIUM,SW monsoon -6% below normal. Recommend switching to Bajra for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.7m.,Cuddalore is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.67m in 2026 and 3.40m by 2028. The water table is currently recovering at 0.14 metres per year. The district is 67% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 13% per kilogram of output.,LSTM_Memory,0.0356188643085468,cumulative seasonal depletion memory
Dharmapuri,6.47,7.55583,5.100115716116768,2.6444014304024828,-0.15845454545453808,1.0,0.0,361.2,380.8,182.8,314.2,803.5,876.4,Bajra,Bajra,Groundnut,9.3,700,400,1433.0,1299.0,Jowar,Stable/recovering,35.6,20.2,37.8,0.2,6.3,28.5,22.1,37.8,4.8,6.8,0.3563607126448517,0.2016565419368012,0.3775333095104395,0.00151870947981,0.0629307264280974,2,Plan Now (within 3 years),#e67e22,27.5,Low,Bajra,Switch,"Transition to Bajra and Groundnut — 9% blended water saving. Target mix: Rice 36%→28%, Bajra 0%→5%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon 5% below normal with GW at 7.6m and 100% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Dharmapuri is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 7.56m in 2026 and 2.64m by 2028. The water table is currently recovering at 0.16 metres per year. The district is 100% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is driving depletion upward; non-linear depletion variability is moderating depletion. Recommended transition to Bajra could reduce water consumption by 9% per kilogram of output.,LSTM_Memory,-0.0603882953849368,cumulative seasonal depletion memory
Dindigul,6.32,8.332734,6.28130553654262,4.229876965114049,-0.13390909090905362,0.887579656126007,0.05212215943248768,372.7,301.5,416.3,460.0,1171.8,956.5,Jowar,Bajra,,4.6,700,400,1141.0,1089.0,Jowar,Stable/recovering,14.4,5.4,46.5,0.2,33.5,11.5,5.8,46.5,2.0,34.2,0.1436098036721367,0.0536827375651952,0.4653670016537336,0.0023957935801212,0.3349446635288131,1,Act Now (within 1 year),#c0392b,29.4,Low,Bajra,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon -24% below normal with GW at 8.3m and 89% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Dindigul is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 8.33m in 2026 and 4.23m by 2028. The water table is currently recovering at 0.13 metres per year. The district is 89% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 5% per kilogram of output.,LSTM_Memory,-0.0337343466396186,cumulative seasonal depletion memory
Erode,4.98,6.9836183,5.883618259429931,4.783618259429931,-0.21381818181815093,0.5920192258700046,0.4079807741299954,217.4,267.6,396.1,307.1,849.5,732.5,Bajra,Bajra,Jowar,9.4,2500,400,1743.0,1580.0,Rice,Stable/recovering,46.4,29.5,0.0,0.1,23.9,37.1,31.6,2.8,3.2,25.3,0.4642910525843771,0.2951331798750411,1.4947236256016262e-05,0.0014797763893456,0.2390810439149801,2,Plan Now (within 3 years),#e67e22,31.6,Low,Bajra,Switch,"Transition to Bajra and Jowar — 9% blended water saving. Target mix: Rice 46%→37%, Groundnut 30%→32%, Jowar 0%→3%, Bajra 0%→3%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,MEDIUM,SW monsoon 19% below normal. Recommend switching to Groundnut for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 8.0m.,Erode is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.98m in 2026 and 4.78m by 2028. The water table is currently recovering at 0.21 metres per year. The district is 59% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward; Rice cultivation expansion is moderating depletion. Recommended transition to Bajra could reduce water consumption by 9% per kilogram of output.,LSTM_Memory,-0.0359060801565647,cumulative seasonal depletion memory
Kallakurichi,5.97,8.227007,5.90629262651716,3.585578340802874,-3.2500000000000644,0.8536794759336331,0.0027994998226983448,384.4,399.1,206.8,455.5,820.4,956.7,Bajra,Bajra,Jowar,11.3,2500,400,1865.0,1655.0,Rice,Stable/recovering,58.4,6.7,0.0,10.1,24.8,46.8,7.8,3.6,14.9,26.9,0.5843865012754854,0.0665297061515393,0.0001752575312055,0.1013377991548692,0.2475707358869004,1,Act Now (within 1 year),#c0392b,37.3,Low,Bajra,Switch,"Transition to Bajra and Jowar — 11% blended water saving. Target mix: Rice 58%→47%, Jowar 0%→4%, Bajra 10%→15%, Maize 25%→27%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Bajra,HIGH,SW monsoon 4% below normal with GW at 8.2m and 85% groundwater dependency. Mandatory switch to Bajra for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Kallakurichi is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 8.23m in 2026 and 3.59m by 2028. The water table is currently recovering at 3.25 metres per year. The district is 85% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 11% per kilogram of output.,LSTM_Memory,-0.0368107391541981,cumulative seasonal depletion memory
Kanchipuram,2.77,3.3383136,2.548313579559326,1.758313579559326,0.10862407862407553,0.36490402476780187,0.0007430340557275541,807.1,472.0,703.6,591.7,1716.7,1155.1,Bajra,Bajra,Jowar,14.5,2500,400,2451.0,2096.0,Rice,Slow depletion,96.7,3.3,0.0,0.0,0.0,77.4,8.2,6.7,7.4,0.3,0.967015375451398,0.0329473958527232,0.0,0.0,3.7228695878783365e-05,3,Monitor (3-5 year horizon),#f1c40f,35.7,Low,Bajra,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 97%→77%, Groundnut 3%→8%, Jowar 0%→7%, Bajra 0%→7%. Advisory for Tier 3 districts — monitor GW trend before committing.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Groundnut.,Kanchipuram is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 3.34m in 2026 and 1.76m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 36% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 14% per kilogram of output.,ARIMA_Fitted,-0.0359822336710399,long-term structural decline trend
