District,Peak_Stress_Month,Recovery_Month,Peak_Depth_m,Trough_Depth_m,Seasonal_Range_m,Dominant_Crop,Intervention_Window
Ariyalur,Jun,Jan,5.54,3.53,2.02,Rice,Jan–Feb
Chengalpattu,Jul,Nov,5.09,4.07,1.01,Rice,Nov–Dec
Chennai,Jul,Dec,4.47,3.92,0.55,Rice,Dec–Jan
Coimbatore,May,Jan,13.48,11.72,1.76,Jowar,Jan–Feb
Cuddalore,Jul,Jan,6.54,4.57,1.97,Rice,Jan–Feb
Dharmapuri,Jun,Jan,10.03,8.02,2.01,Jowar,Jan–Feb
Dindigul,Aug,Jan,10.1,8.38,1.72,Jowar,Jan–Feb
Erode,Jul,Nov,9.2,6.88,2.33,Rice,Nov–Dec
Kallakurichi,Jul,Jan,10.15,8.72,1.43,Rice,Jan–Feb
Kanchipuram,Jun,Jan,4.26,2.37,1.89,Rice,Jan–Feb
Kanniyakumari,May,Nov,6.53,4.41,2.12,Rice,Nov–Dec
Karur,Jul,Jan,6.98,5.13,1.85,Jowar,Jan–Feb
Krishnagiri,Dec,Jan,8.57,6.24,2.33,Rice,Jan–Feb
Madurai,Jul,Jan,7.52,5.79,1.72,Rice,Jan–Feb
Mayiladuthurai,Jun,Feb,1.99,1.77,0.22,Rice,Feb–Mar
Nagapattinam,Jul,Dec,3.5,2.27,1.23,Rice,Dec–Jan
Namakkal,May,Nov,11.83,9.14,2.69,Jowar,Nov–Dec
Perambalur,Jul,Jan,9.53,6.54,2.98,Maize,Jan–Feb
Pudukkottai,Jul,Nov,7.39,5.32,2.08,Rice,Nov–Dec
Ramanathapuram,Aug,Jan,4.87,4.12,0.75,Rice,Jan–Feb
Ranipet,Jun,Jan,6.9,5.86,1.04,Rice,Jan–Feb
Salem,May,Nov,10.34,7.64,2.71,Jowar,Nov–Dec
Sivaganga,Jul,Jan,6.94,5.56,1.38,Rice,Jan–Feb
Thanjavur,Jun,Jan,3.9,2.75,1.16,Rice,Jan–Feb
The nilgiris,May,Nov,2.7,2.04,0.66,Rice,Nov–Dec
Theni,Jul,Jan,10.43,8.47,1.96,Rice,Jan–Feb
Thenkasi,Jul,Jan,7.79,6.95,0.83,Rice,Jan–Feb
Thiruvallur,Jun,Dec,5.37,3.12,2.25,Rice,Dec–Jan
Thiruvarur,Aug,Jan,4.03,2.37,1.66,Rice,Jan–Feb
Thoothukudi,Jul,Dec,6.01,3.83,2.18,Maize,Dec–Jan
Tiruchirappalli,Jul,Nov,9.58,7.52,2.05,Rice,Nov–Dec
Tirunelveli,Aug,Jan,6.93,4.73,2.21,Rice,Jan–Feb
Tirupathur,Apr,Nov,8.55,7.56,0.99,Groundnut,Nov–Dec
Tiruppur,May,Jan,10.77,9.17,1.6,Jowar,Jan–Feb
Tiruvannamalai,Jun,Jan,7.73,4.37,3.35,Rice,Jan–Feb
Vellore,Jun,Nov,8.67,6.32,2.35,Groundnut,Nov–Dec
Villupuram,Jul,Jan,6.92,4.12,2.8,Rice,Jan–Feb
Virudhunagar,Jul,Jan,8.39,6.69,1.7,Maize,Jan–Feb
