District,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,ARIMA_Residual,ARIMA_Fitted,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22,H_23,H_24,H_25,H_26,H_27,H_28,H_29,H_30,H_31
Ariyalur,0.0,0.0,0.0,0.0,0.0,0.0,-0.02975455538587234,0.0,0.0,0.0,0.0,0.0,-0.004801040143498876,0.0,0.0,0.0,-0.0021593551571339378,-0.005199049054478076,-0.0020378396822346087,-0.005606478754362553,0.0,-0.0019949858275008984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003078569656939994,0.0,-0.005232928250321972,0.0,0.0,0.0,0.0,-0.0019333794724586432
Chengalpattu,0.0,0.0,0.0,0.0,0.0,0.0,-0.03709270803830631,-0.0020508262907028008,-0.00636231496613978,0.0,-0.0063284490266538465,0.0,0.0,-0.010162270493893828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008279717990931702,0.0,-0.005757841993254055,0.0,0.0,0.0,0.0,0.0,0.01509136580827721,0.0,0.0,0.0,0.015484465084664972,0.0,0.0,0.0,0.0,-0.00947713133829343
Chennai,0.0,0.0,0.0,0.0,0.0,0.0,-0.03589018586768252,0.0,0.0,0.0,0.0,0.0,0.01654814229111785,0.008107562675166742,0.013465095295100487,0.0,0.0,-0.012523894004418282,0.011608528427445731,0.0,0.0,0.0,0.0,-0.01054957060513887,0.0,0.018622513490506972,0.0,0.0,0.0,0.0,0.0,0.0,0.016640145446891803,0.0,0.0,0.0,0.0,0.0,-0.030471055029000545
Coimbatore,-0.004939329402298838,0.0,0.0,0.0,0.0,0.0,0.2439482117859614,0.0,0.0,0.0,0.0,-0.0009794936046484126,-0.003795065325827655,-0.010605707126088739,0.0,0.0,0.0,0.0,0.0,-0.012432583848146815,0.0,-0.0042202118138842,0.0,0.0,0.0,0.0,0.0,0.0,-0.01361315339173484,0.0,0.0,0.0,0.0,-0.009975729934709892,0.0,-0.0013371674304322781,0.0,0.0,0.0
Cuddalore,0.0,0.0,0.0,0.0,0.0,0.0,-0.020947609405468835,0.0008091152776345317,0.0,0.007062047359549036,0.004492047356900521,0.0,0.0,0.0039522587677234015,-0.017843171825795017,0.006326050222442907,0.0,0.010443928007883803,0.0,0.0,0.0,0.0068175314460573525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013559057696150349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dharmapuri,0.0,0.0,0.0,0.0,0.0,-0.004930808707488268,0.04485354010969992,0.0,0.0,0.0,0.0,0.0,0.0,-0.013870602818767072,0.0,-0.004351110725148319,-0.002744899269476836,-0.007382252872213408,0.0,-0.008042792499675192,0.0,-0.0037726204365312256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041735374057185505,-0.016050479357406222,0.0,0.0,0.0,0.0,0.0
Dindigul,0.0,0.0,0.0,0.0,0.0,0.0,0.03194013134788015,0.008456811160607206,0.0,0.0,0.0,0.0,-0.009445674366062373,-0.0033429718291895848,0.0,0.0,0.0,-0.006336569689308191,-0.006984921123324119,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036168044868729807,0.0,0.0,0.0,0.0,0.005697400067657006,-0.011276704462973271,0.0,0.0,0.0,0.0,0.0,-0.0068849119101523845,0.0
Erode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037840210046106502,-0.010985219448031859,-0.014765807853593722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008751965419574065,-0.004340769609889834,0.0,0.0,-0.010141285968831765,0.016847520360619456,0.012814953642560665,0.0,0.0,0.0,-0.005267700060763545,-0.007531784794449421
Kallakurichi,0.0,0.0,0.0,0.0,0.0,0.0,-0.016513971423528263,-0.002999127146755067,0.0,-0.00652864186392939,-0.0015077390351197276,0.0,0.0,0.0,0.0,-0.004869793913040198,0.0,0.0,0.0,-0.0027265303795724893,0.0,-0.0035098220103954394,0.0,0.0,0.0,-0.005265863745185705,0.0,-0.004018270090219593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053849509699805285,0.0
Kanchipuram,0.0,0.0,0.0,0.0,0.0,0.0,-0.03598223367103998,0.0,-0.004844958253911935,0.0,-0.0016383824018458872,-0.006927969498006643,-0.0016208840745287863,-0.0011161053305889035,0.0,0.0,-0.002430279685289907,-0.003410909609111969,-0.00308582818892347,0.0,-0.001759691283279255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kanniyakumari,0.0,0.0,0.0,0.0,0.0,0.0,0.03442978711691751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0299706727752879,0.0,0.0,0.011332204098751634,0.0,0.0,0.0,0.009530216368276941,0.004493235030749776,0.02312980886118426,0.0,0.0,0.0,0.0,0.028911520627580827,0.008164256868290299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007785013180141964,0.0084404948061053
Karur,0.0,0.0,0.0,0.0,0.0,0.0,-0.010336946717747835,0.0,0.0,0.0,-0.0013353025727883272,-0.0073574396126314286,0.0,-0.003967296070684442,-0.002672028779320589,0.0,-0.0007822921400325015,0.0,0.0,0.0,-0.005160037268699848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006916674172505907,0.0,-0.003057075125774574,0.0,0.0,-0.0016439920017419939,0.0,0.0,0.0,0.0
Krishnagiri,0.0,0.0,0.0,0.0,0.0,-0.013966879238126383,0.04438411100747109,0.0,0.0050269812688174716,0.0,0.0,-0.007502493038401564,-0.008529787560255811,0.0,0.0,-0.003923612794652513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008805335571688342,0.0,0.006610605324270531,-0.006041482796429305,0.01472061297892987,0.0
Madurai,0.0,-0.006468860392314137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006273524451013159,0.0,0.0,-0.0025344028714954997,0.0,0.0,-0.003709987268891081,-0.007395299306511973,-0.0029052198207136642,-0.0050480895692068305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035225914479547495,0.0,-0.0029764553121358487,-0.003412932322452678,0.0,0.0,0.0,0.0
Mayiladuthurai,0.0,0.0,0.0,0.0,0.0,0.0,-0.03634091676610089,0.0,0.0,0.0,0.0,-0.0018241472603770824,-0.00473823841090859,-0.00426801986262599,0.0,0.0,-0.0021587479486819827,0.0,-0.0033093045106394317,-0.004628142718617201,0.0,-0.0016225045445149196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004073132917329879,-0.0020904011746392635,0.0,0.0,0.0,0.0
Nagapattinam,0.0,0.0,0.0,0.0,0.009058932749962572,0.0,-0.04885113861212594,0.0,0.0,-0.006528752150431779,0.0,0.0,0.0,0.0,0.027683801249295537,0.0,0.0,0.0,0.0,-0.006393558392708478,0.0,0.0,0.005115936926284859,0.0,0.0,0.0,-0.0031707692098581486,0.0,0.0,0.0,0.0,0.015001612591232694,-0.01740977041016486,-0.019612910612677503,0.0,0.0,0.0,0.0,0.0
Namakkal,0.0,0.0,0.0,0.0,0.0,0.0,0.10300067674561483,0.0,0.0,0.0,-0.007304481930342368,0.0,-0.006013483632171763,0.0,-0.007013117801921553,0.0,0.0,0.0,-0.0023009628445052953,0.0,0.0,0.0,0.0,-0.004153195281591596,-0.004695874840833432,0.0,0.0,0.0,-0.011237509856097632,-0.004328487401431831,0.0,0.0,0.0,0.0,-0.0017980755895330252,0.0,0.0,0.0,0.0
Perambalur,0.0,0.0,0.0,-0.0027832565918181557,0.0,0.0,-0.012902914344879977,-0.0037980011834336785,-0.005760258221362384,0.0,0.0,0.0,0.0,-0.0029133622162330337,-0.001583871249895251,0.0,0.0,0.0,-0.003043056516504511,0.0,0.0,-0.00680400106933103,0.0,-0.0032127400245655874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003261786650070682,0.0,0.0
Pudukkottai,0.0,0.0,0.0,0.0,0.0,0.0,-0.018900922793887054,0.0,0.0,0.0,0.0,0.0,-0.018865857519641965,-0.00869632962001101,-0.006751075252030028,0.0,0.0,0.0,0.013106148768867301,0.0,0.0,0.0,-0.016312166553513686,0.0,0.0,0.0,0.0,0.027988564082791507,0.0,0.0,0.0,0.0,0.0,0.01548025645697885,0.01565808005642601,0.0,0.0,0.0,-0.011754068029985005
Ramanathapuram,0.0,0.0,0.0,-0.0012648011510489683,-0.004401810452302614,0.0,-0.016540026466403467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011627250006776387,-0.004608393410584607,0.0,0.0,-0.003912270500300715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00523535630451606,0.0,0.020878140508609845,-0.003278029122631247,0.0,0.0,0.0,-0.010072693944732843
